text,label,FC,CC,TU,CP,R,DU,EE,FR
"Q: What is the height of a tree?
A: The height is the number of generations (levels) from the root.",1,unknown,Negative,Positive,unknown,Positive,unknown,Negative,Positive
"Q: What is a recursive function?
A: a recursive function is a function that during execution, calls itself over and over until a base case is reached",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: How can you implement a stack with a list?
A: adding the element to the end of the list so that it links to the element before it. when popping the element it takes the last element in the list and sets the previous one as the end of the list.",1,Negative,Negative,unknown,unknown,Positive,Negative,Negative,Positive
"Q: What does the star (*) operator return?
A: Returns synonym for the object its operand points to.",1,Positive,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: How many steps does it take to search a node in a binary search tree?
A: 2n-1",0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive
"Q: How are arrays passed to functions?
A: by reference only",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: How are infix expressions evaluated by computers?
A: By using parentheses to have order in the expression.",0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive
"Q: What is the difference between an array declared as static, and one that is not?
A: a static array will only be initilized once, a non static array will be re-initilized once the program reaches the initilization line again.",1,Positive,unknown,unknown,Positive,Positive,unknown,Negative,Positive
"Q: In one sentence, what is the main idea implemented by selection sort?
A: Find the lowest value and place it at the front, then find the next lowest and place it in front of the last value, etc.",1,Positive,unknown,unknown,unknown,Positive,Positive,Negative,Positive
"Q: What is the main difference between strings declared using the type string versus strings declared using an array of characters?
A: the type string is a class and is safer, while the other is just an array of characters.",1,unknown,Negative,Positive,unknown,Positive,unknown,Negative,Positive
"Q: What are the two main functions defined by a queue?
A: The two main functions of a queue are enqueue and dequeue.",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?
A: the variable of type char[], each character is stored into a different memory address and can be accessed easly, where as in a string of character, its not easy to be able to access each character in the string.",0,Negative,Negative,unknown,Negative,Negative,Negative,Negative,Positive
"Q: How can you implement a queue with an array?
A: fixed size array with max N elements.  Need to keep track of front and rear of array.",1,unknown,Negative,Positive,unknown,Positive,Negative,Negative,Positive
"Q: Briefly describe in one sentence how does merge sort work?
A: Take the initial array and split it into two, temporary, smaller arrays, sort the two smaller arrays, and merge them back into a single array.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What operations would you need to perform to find a given element on a stack?
A: Pop each item off the top until you find what you are looking for. If the stack ends up empty and you never found the item, then it does not exist in the stack. It may also be necessary to save the popped values in case you want to recreate the stack.",1,unknown,unknown,Positive,unknown,Positive,unknown,Negative,Positive
"Q: How do you delete a node from a binary search tree?
A: You must first traverse the tree to find the appropriate value.  Then you must make sure that the node is a leaf node.  If it is, then you can delete the pointer to that specific node.",0,Negative,Negative,unknown,unknown,Positive,Negative,Negative,Positive
"Q: What does the sizeof operator return?
A: sizeof returns the size in bytes of the respective object.",1,unknown,Positive,unknown,unknown,Positive,Positive,Negative,Positive
"Q: How are linked lists passed as arguments to a function?
A: Passed as a pointer to the head.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is the base case for a recursive implementation of merge sort?
A: The base case for a recursive merge sort is one number.  One number by itself is a sorted list, regardless of what number it is.",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: Briefly describe the divide-and-conquer paradigm.
A: It takes a large problem and splits it into two or more easier or faster solutions, and  makes for better readability.",1,Negative,Negative,Negative,Negative,unknown,Negative,Negative,unknown
"Q: What is a binary search tree?
A: a tree that is set up so that it can be easily searched for numbers based on the location compared to the previous nodes.",1,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive
"Q: How are arrays passed to functions?
A: a reference pointer to an element in the array.",1,unknown,unknown,Negative,Negative,Positive,unknown,Negative,Positive
"Q: What is a binary tree?
A: a tree where each node can have at most 2 children.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: When does C++ create a default constructor?
A: when one is not explicitly included by a class",1,Positive,unknown,Positive,Positive,Positive,unknown,Negative,Positive
"Q: How many comparisons does it take to find an element in a binary search tree?
A: O(n)",0,Negative,Negative,Positive,Negative,Positive,Negative,Negative,Positive
"Q: What is the main advantage associated with function arguments that are passed by reference?
A: you don't make another copy and waste memory",1,Positive,unknown,unknown,Positive,Positive,Positive,Negative,Positive
"Q: What are the similarities between iteration and recursion?
A: Both involve a controlled repetition structures, and they both have a termination test.  Also both of them can loop forever.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What does a function signature include?
A: The name of the function and the types of its arguments.",1,unknown,Positive,unknown,unknown,Positive,Positive,Negative,Positive
"Q: What is the Euler tour traversal of a tree?
A: The Euler traversal through the tree in a rubber band style shape.",0,unknown,Negative,unknown,Negative,Positive,Negative,Negative,Positive
"Q: What is a pointer?
A: Contains a variable's memory address as a value.",1,Positive,unknown,Positive,unknown,Positive,Positive,Negative,Positive
"Q: What is the inorder traversal of a binary tree?
A: Inorder traversal of a binary tree will retrieve start at the furthest left hand leaf and checks it, it’s parent, and it’s right side sibling, then it goes up a level and repeats until it gets to the root.",1,Negative,Negative,Negative,Negative,Positive,Negative,Negative,unknown
"Q: How are infix expressions evaluated by computers?
A: by converting them to postfix expressions and putting the operations in a stack",1,unknown,unknown,Positive,unknown,Positive,unknown,Negative,Positive
"Q: What operations would you need to perform to find a given element on a stack?
A: Keep popping nodes and storing them in an alternate stack until the given element is found, then pop the given element and push the previously popped nodes back onto the stack.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is the role of a header-file?
A: Header files declares the class member functions.",1,unknown,Negative,unknown,unknown,Positive,Negative,Negative,Positive
"Q: How are objects initialized when they are created?
A: classname objectname(input parameters);",0,unknown,Negative,Negative,unknown,unknown,Negative,Negative,Positive
"Q: Briefly describe the divide-and-conquer paradigm.
A: the divide and conquer paradigm is a recursive solution that keeps dividing the problem into halves until a base case is reached.",1,unknown,unknown,Positive,unknown,Positive,unknown,Negative,Positive
"Q: What is the difference between a circular linked list and a basic linked list?
A: In the case of a non circular link list, if you are at the last node of the list and u want to move to first u need to go to one, step back till u reach to first. But in circular link list from last to first you need to make only one move.  In a single link list u can move only in one direction but in double link list u can move in any direction back or forward or forward.",1,Negative,Negative,unknown,Negative,Negative,Negative,Negative,Negative
"Q: What is the difference between a constructor and a function?
A: Unlike regular functions, constructors are only used to initialize an object’s data when it is created. Constructors must also be given the same name as the class and cannot return any values.",1,Positive,unknown,Positive,Positive,Positive,Positive,unknown,Positive
"Q: What is a queue?
A: A queue is similar to an array, except that the data can only be accessed sequentially rather than at random. Unlike a stack, a queue follows FIFO. First in, First out.",1,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown
"Q: What is a binary search tree?
A: Binary search trees are a fundamental data structure used to construct more abstract data structures such as sets, multisets, and associative arrays.",0,Negative,Negative,unknown,unknown,Negative,Negative,unknown,Positive
"Q: When defining a recursive function, what are possible causes for infinite recursion?
A: There is no base case. The recursion step doesn't reduce the problem during each recursive call.",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: What is the scope of global variables?
A: File scope",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is the main difference between a while and a do...while statement?
A: While loop used to execute a block of code as long as some condition is true.  A do...while loop used to execute a block of code as long as some condition is satisfied.  The difference between while and do...while is while loop tests its condition before the execution of its contents and the do...while loop tests its condition after the execution of its contents at least once.",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,unknown
"Q: How can an array be addressed in pointer/offset notation?
A: yes *(array +offset)",1,Positive,Negative,unknown,Negative,unknown,Negative,Negative,unknown
"Q: What stages in the software life cycle are influenced by the testing stage?
A: Refining, production, and maintenance",0,Negative,Negative,unknown,unknown,unknown,Negative,Negative,Positive
"Q: What is the scope of global variables?
A: global variables have program scope (accessible anywhere in program)",1,Negative,unknown,Negative,unknown,Positive,Negative,unknown,Positive
"Q: What is a stack?
A: Stores a set of elements in a particular order based on the principle of Last In First Out (LIFO).",1,Positive,unknown,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is a binary search tree?
A: a binary search tree is a special tree in which each node has at most two children, labeled left child and right child",0,Negative,Negative,Positive,unknown,unknown,Negative,Negative,Positive
"Q: What is the difference between an array declared as static, and one that is not?
A: its not created and initialized each time program calls the function, and is not destroyed every time the function ends in the program.",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: How many constructors can be created for a class?
A: As many as needed.",1,Positive,Positive,Positive,unknown,Positive,Positive,Negative,Positive
"Q: What is the role of a header-file?
A: It contains reusable source code for use by other classes.",0,unknown,Negative,Negative,Negative,Positive,Negative,Negative,Positive
"Q: What is the Euler tour traversal of a tree?
A: has preorder, in order, and postorder of a tree.  preorder = puts the parent node in front of the child node(s).  in order = puts the parent node between the left child and right child node(s).  postorder = puts the parent node after the child node(s).",0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative
"Q: How are overloaded functions differentiated by the compiler?
A: They are differntiated by number, types and order of arguments in the function call.",1,Positive,unknown,unknown,Positive,Positive,unknown,Negative,Positive
"Q: What is the main advantage of arrays over linked lists?
A: Linked list has an increase complexity of the implementation. The linked list has an array that keeps growing which leads to a increase in memory.",0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive
"Q: Briefly describe the divide-and-conquer paradigm.
A: It divides the problem into singular units and works on the problem piece by piece until the problem is solved.",1,unknown,Negative,Negative,Negative,Positive,Negative,Negative,Positive
"Q: How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?
A: All dimensions except for the first one need to be specified when passing an array to a function, the compiler needs to know how many memory addresses to skip to make it back to the 2nd element in the first dimension.  The size of the first dimension does not need to be specified.",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: What is the scope of global variables?
A: Global variables have file scope.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is a tree?
A: A tree is a branched data structure with nodes, and leaves... a special node called root has no parent node, but however like all other nodes can and does have 2 nodes that it links to, namely one on the right, and one on the left.",1,Negative,Negative,unknown,Negative,unknown,Negative,Negative,unknown
"Q: What is the difference between an array declared as static, and one that is not?
A: A static array has a set size that cannot change. The data may not need all of the space assigned, or could go beyond the size.",1,Negative,Negative,unknown,unknown,Negative,Negative,Negative,Positive
"Q: What operations would you need to perform to find a given element on a stack?
A: Iterate through the stack, checking the number against the current element.",0,Negative,Negative,Negative,Negative,unknown,Negative,Negative,Positive
"Q: How are overloaded functions differentiated by the compiler?
A: The compiler selects the proper functions to execute based on number, types and order of arguments in the function call.",1,Positive,unknown,unknown,Positive,Positive,Positive,Negative,Positive
"Q: What are the two main functions defined by a stack?
A: Push and Pop, which add and remove data from the stack, respectively.",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: In one sentence, what is the main idea implemented by selection sort?
A: the selection sort chooses the largest or smallest value in an unsorted list and creates a new list using the selection depending on how it is sorted.",1,Negative,Negative,unknown,Negative,unknown,Negative,Negative,Positive
"Q: How can you implement a queue with an array?
A: Keep track of the front and the back of the array as you increase and decrease the elements inside the array.",1,Negative,Negative,unknown,Negative,unknown,Negative,Negative,Positive
"Q: What is the stack operation corresponding to the enqueue operation in queues?
A: enqueue corresponds with push dequeue corresponds with pop",1,Positive,Positive,Positive,Positive,unknown,Positive,Negative,unknown
"Q: What is the base case for a recursive implementation of merge sort?
A: the array has one element",1,Positive,unknown,Positive,Positive,Positive,Positive,Negative,Positive
"Q: When defining a recursive function, what are possible causes for infinite recursion?
A: it has no base case, or the base case is never met",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: In one sentence, what is the main idea implemented by selection sort?
A: you loop through the entire list, and for each iteration you find the smallest element and move it to the current position.",1,unknown,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: How can you implement a stack with an array?
A: Allocate an array of some size. The bottom stack element is stored at some element. Last index in the array is the top. Increment top when one element is pushed, decrement after pop.",1,Positive,Positive,Positive,unknown,Positive,Positive,unknown,Positive
"Q: What is typically included in a class definition?
A: Since class is user defined, the body of the declaration can contain members, that can be either data or function declarations, and optionally access specifiers.  Example for specifiers would be public, private, and protected.  There is the keyword Class and the Class body is enclosed with brackets ({}).",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: What are the two different ways of specifying the length of an array?
A: statically and dynamically",0,Negative,Negative,unknown,Negative,unknown,Negative,Negative,Positive
"Q: What are the two main functions defined by a queue?
A: Enqueue and Dequeue",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: What is a queue?
A: Its like a stack, but uses the linked list to stack a little differently. It's FIFO so the first thing enqueued is the first thing dequeued",1,unknown,unknown,unknown,unknown,unknown,unknown,Negative,unknown
"Q: How do you delete a node from a binary search tree?
A: Must delete the information that the node contains (to free up memory/ ""garbage collect"") and also delete the pointer (in that node's ""parent"") that points to the node you wish to delete.",0,Negative,Negative,Positive,unknown,unknown,Negative,Negative,Positive
"Q: How are overloaded functions differentiated by the compiler?
A: Overloaded functions are distinguished by their signatures, Name mangling or name decoration, and type-safe linkage ensures that proper overloaded functions is called and types of the arguments conform to tpes to the parameters.",1,Positive,Positive,Positive,unknown,Positive,Positive,unknown,unknown
"Q: What is a binary tree?
A: a tree where each parent can have at max two children.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: How are linked lists passed as arguments to a function?
A: Linked lists permit insertion and removal of nodes at any point in the list in constant time,[1] but do not allow random access.",0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative
"Q: Briefly describe the divide-and-conquer paradigm.
A: Divide the big problem into small problem, solve small problem and join small solved elements of the problem. if there is two ore more elements in the array, divide the array into parts and compare the elements, after comperison, conquer the elements. If array have n element, first half have n/2 elements",1,unknown,unknown,unknown,Negative,unknown,Negative,Negative,Negative
"Q: How can an array be addressed in pointer/offset notation?
A: by referencing a pointer and referring to other pointers relative to the first pointer(pointer+1, pointer +2, etc)",0,unknown,unknown,Negative,Negative,Positive,unknown,unknown,Positive
"Q: What is a leaf?
A: an element in a tree that has no children",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: When defining a recursive function, what are possible causes for infinite recursion?
A: Infinite recursion is an infinite loop if the condition is not met.  Either omitting the base case, or writing the recursion step incorrectly so that it does not converge on the base case causes ""indefinite"" recursion, eventually exhausting memory.",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: How does the compiler handle inline functions?
A: it generates a copy of the function's coding which eliminates calling the function",1,Positive,unknown,unknown,Positive,Positive,Positive,Negative,Positive
"Q: What is a binary search tree?
A: a special binary tree that has a rule that all the subtrees on the right are smaller than the node value and all the subtrees on the left are larger than the node value",1,Negative,unknown,unknown,Negative,Positive,Negative,Negative,Positive
"Q: What is the alternative way to solve a problem that could be solved through recursive functions?
A: by iteration",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: What is the difference between a function prototype and a function definition?
A: A function prototype is a declaration of a function that tells the compiler the function's name, its return type and the types of its parameters.",1,unknown,Negative,Positive,unknown,unknown,Negative,Negative,Positive
"Q: What is the difference between a constructor and a function?
A: a constructor is a function that initializes a class instance, a function performs whatever task it is written for",0,unknown,Negative,Positive,unknown,Positive,Negative,Negative,Positive
"Q: How are overloaded functions differentiated by the compiler?
A: It selects the proper function to execute based on number, types and order of arguments in the function call.",1,Positive,unknown,Positive,Positive,Positive,unknown,Negative,Positive
"Q: What is the difference between an array declared as static, and one that is not?
A: A static local array exists for the duration of the program and its elements are initialized to 0 if not explicitly initialized. So a static local array's elements will still be the same when called later unless specifically initialized to something else.  This doesn't happen for automatic arrays.",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: What is the role of a header-file?
A: To allow the compiler to recognize the classes when used elsewhere.",1,unknown,Negative,unknown,unknown,Positive,Negative,Negative,Positive
"Q: What is a pointer?
A: A pointer variable contains the number of a memory address as its value, which may be null or 0, or the address of some value stored in memory.",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: How are arrays passed to functions?
A: by reference by default, unless you specify const, at which the later will make the array unmodifiable.",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: How can you implement a stack with a list?
A: Using nodes to keep track of the head of the stack. Then using Push( ) and Pop ( ) to create the stack as needed.",1,Negative,Negative,unknown,Negative,unknown,Negative,Negative,unknown
"Q: In one sentence, what is the main idea implemented by insertion sort?
A: It starts with the second element and checks it to see if it is less than the element(s) to the left of it and if it is it inserts it into its corrected position.",1,Positive,unknown,Positive,unknown,Positive,Positive,Negative,unknown
"Q: What is typically included in a class definition?
A: Member functions and data members belonging to the class.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: How many constructors can be created for a class?
A: several",1,Negative,Negative,unknown,Negative,Positive,Negative,Negative,Positive
"Q: What is the stack operation corresponding to the enqueue operation in queues?
A: Not sure what this question means.  You can use the stack 'push' operation and the enqueue operation to detect palindromes.",1,Negative,Negative,unknown,Negative,Negative,Negative,Negative,Negative
"Q: What are the main operations associated with a stack?
A: push - Add an element to the top of the stack pop - remove the top element from the stack",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: What is the height of a tree?
A: The height of a tree is the number of nodes on the longest path from the root to a leaf.",1,unknown,Positive,Positive,Positive,Positive,unknown,Negative,Positive
"Q: When defining a recursive function, what are possible causes for infinite recursion?
A: Lack of defining a base case, or writing the recursion step incorrectly so that it does not converge on the base case",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: What is a stack?
A: A stack is an ADT that stores a set of elements in a particular order.",0,unknown,Negative,unknown,Negative,Positive,Negative,Negative,Positive
"Q: What is a pointer?
A: A variable in memory that hold the address of another memory location to which it points too",1,Positive,Positive,Positive,unknown,Positive,Positive,Negative,unknown
"Q: How can an array be addressed in pointer/offset notation?
A: First, some pointer variable must reference the first entity in the array. Any variable in the array can then be accessed by referring to that first entity's address plus some offset. i.e. ptrToArray = array;  nthEntity = *(ptrToArray + n);",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: What is the stack operation corresponding to the enqueue operation in queues?
A: push",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: Where are variables declared in a C++ program?
A: Anywhere in the same scope before they are used",1,unknown,unknown,Positive,Positive,Positive,Positive,Negative,Positive
"Q: How can you implement a stack with a list?
A: have a linked list, and for each push, add an item onto beginning of the list, and for each pop remove the first element in the list.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is the scope of global variables?
A: Global Variables can be used in any function as long as the appropriate .h file that holds the variable is included",1,Negative,Negative,Negative,Negative,unknown,Negative,unknown,Positive
"Q: What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?
A: O(n), the list is already sorted.",1,unknown,Positive,Positive,unknown,Positive,unknown,Negative,Positive
"Q: What is a recursive function?
A: A recursive function typically simplifies a problem by calling itself, until arriving at a base case, at which it recursively returns a solution.",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: What is the main advantage of a doubly-linked list over a basic linked list?
A: a doubly linked list has pointers in both directions. this allows for access from back to front as well as front to back",1,unknown,Negative,Positive,unknown,unknown,unknown,Negative,Positive
"Q: What is the difference between a constructor and a function?
A: A constructor initialized values at the execution of its instantiation. It provides default values.",1,unknown,Negative,Positive,unknown,unknown,Negative,Negative,Positive
"Q: What is the alternative way to solve a problem that could be solved through recursive functions?
A: One can use iteration or by using a simple while/for loop.",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: What is the difference between a function prototype and a function definition?
A: A function prototype lays out the name, return type, and the number and types of parameters the function expects to receive in a certain order.  The details for function prototypes are in the function definition.",1,Negative,Negative,unknown,Negative,Positive,Negative,Negative,Positive
"Q: What are the main advantages associated with object-oriented programming?
A: Encapsulation-objects combine data and operations Inheritance- classes can inherit properties from other classes Polymorphism- Objects can determine appropriate operations at execution time",0,unknown,Negative,Positive,Positive,unknown,unknown,Negative,Positive
"Q: How are infix expressions evaluated by computers?
A: By throwing variables into a postfix expression and operands onto a parentheses regulated stack until end parentheses and enough variables to operate on are encountered.",1,Negative,Negative,unknown,Negative,Positive,Negative,Negative,Positive
"Q: What is a variable?
A: a value/word that can assume any of a set of values",0,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive
"Q: What is a pointer?
A: A pointer is an element that references a memory location.",1,unknown,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: What is a binary tree?
A: A binary search tree is a tree that also has the condition that each node may have at maximum 2 children",1,Negative,Negative,Negative,unknown,unknown,Negative,Negative,unknown
"Q: What are the main operations associated with a stack?
A: Push, Pop, isEmpty, isFull  Maybe List to show all elements or an operation to count how many elements in the stack.",1,Positive,Positive,Positive,unknown,Positive,Positive,Negative,unknown
"Q: How many constructors can be created for a class?
A: as many as you need",1,Positive,Positive,Positive,unknown,Positive,Positive,Negative,Positive
"Q: What is the scope of global variables?
A: they can be accessed by any C++ file anywhere.",0,Negative,Negative,Negative,Negative,Positive,Negative,Negative,unknown
"Q: What are the two different ways of specifying the length of an array?
A: statically, using {} and dynamically, using []",1,Negative,Negative,Negative,Negative,unknown,Negative,Negative,Positive
"Q: What is a recursive function?
A: a function that calls on itself and uses a base case to stop the recursion",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: What does the sizeof operator return?
A: the size of the information in bits.",0,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive
"Q: Briefly describe in one sentence how does merge sort work?
A: Merge sort continuously breaks an array in half then sorts the arrays as it concatenates them back together into one sorted array.",1,Positive,Positive,unknown,unknown,Positive,Positive,Negative,Positive
"Q: Briefly, how does selection sort work?
A: selection sort selects the smallest element out of the list then the second smallest ....and sorts them acordingly.",1,Positive,unknown,Positive,unknown,Positive,unknown,Negative,unknown
"Q: What is the scope of global variables?
A: Global variables all have file scope.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: Briefly, how does selection sort work?
A: selection sort searches for the smallest element of the remaining data organization and places it at the largest point of the new data organization",1,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive
"Q: What is the main advantage of arrays over linked lists?
A: Arrays are easier to implement and require less memory",1,Negative,Negative,unknown,Positive,unknown,Negative,Negative,Positive
"Q: How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?
A: Two paramaters, the array and how many columns.  array(a[],[3])",1,Negative,Negative,unknown,Negative,unknown,Negative,Negative,unknown
"Q: What is a tree?
A: It organizes data in a nonlinear, hierarchical form, where items can have more than one successor.  Partitioned into a root node and subsets are general subtrees of the root.",1,unknown,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: What is a pointer?
A: A pointer is a way to get at another object. Essentially it is a way to grab an instance of an object and then either pass that instance a message or retreive some data from that object. A pointer is actually just an address of where an instance is held in memory.",1,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown
"Q: Briefly, how does selection sort work?
A: by selecting the first object and comparing it with the next objects to find one that is smaller, if it does it switches the two.  then it comes back the other way and sees if the objects previous to the last one is greater, if it does it switches them.  it does this while decreasing the range it looks at until it finishes in the middle.",0,Negative,Negative,unknown,Negative,Negative,Negative,Negative,Positive
"Q: What is the main difference between a while and a do...while statement?
A: A while loop will check the statement to make sure it is true before executing. A do while loop will execute before checking the statement to see if it should run again.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is the main difference between a while and a do...while statement?
A: A do...while statement will always execute the ""do"" piece of code at least once before checking the condition. A while statement will always check the condition first.",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: What is the advantage of linked lists over arrays?
A: They grow dynamically, unlike the fixed size array",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is a function signature?
A: A function signature specifies the name and input variables of a function.",1,unknown,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: When defining a recursive function, what are possible causes for infinite recursion?
A: Either omitting the base case or writing the recursion step incorrectly so that it does not converge on the base case can cause an infinite recursion.",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: What are the two main functions defined by a stack?
A: pop - to remove item push - to insert an element",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
